 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
70460.515972,309.4761,22.46547,268.0574,70.42818,118.4222,411.571,351.3282,996.9495,252.9745,80.03258,22.09249,242.2945,69.14851,428.6994,373.947,-5.722046e-06,118.8425,499.6981,583.097,41.54132
70460.715894,284.9764,21.2551,291.6528,66.25224,106.6167,389.1415,333.4754,1038.432,274.1029,107.0265,20.82599,224.4005,64.04871,405.4206,371.4693,-5.722046e-06,110.0377,461.0743,597.6885,36.88676
70460.915816,262.4162,20.10995,299.3314,62.32392,173.2068,377.0827,344.9603,1093.993,297.4349,128.8047,19.63209,224.5182,59.32502,380.5258,351.2156,-5.722046e-06,135.141,425.4359,573.819,48.10085
70461.115738,241.642,19.02649,276.1486,58.62851,155.9399,370.5029,377.3018,1033.887,296.3332,128.0224,18.50664,207.937,54.94971,357.1597,356.9781,-5.722046e-06,125.1287,422.2254,568.6964,42.71132
70461.31566,222.5123,18.00141,264.6715,55.15222,140.3943,452.9415,369.6295,993.2419,336.063,116.694,17.44571,208.2459,50.89709,345.2152,353.5226,-5.722046e-06,130.9121,403.8448,553.0146,49.67849
70461.515582,228.7527,17.03156,251.3389,51.88205,126.3984,439.3875,353.0696,955.1306,339.8687,125.6345,16.4456,199.2545,47.14335,324.0174,334.2474,-5.722046e-06,152.7463,380.2603,558.8536,61.01176
70461.715504,290.6092,34.23654,231.8731,48.80578,113.7978,475.8114,335.1283,902.6544,364.2306,114.5174,15.50283,198.2557,43.66646,304.1212,354.1564,-4.768372e-06,141.4297,379.5163,546.4197,54.17561
70461.915426,267.603,80.44474,256.2099,45.91191,102.4533,478.136,327.8943,858.3871,405.3049,180.8241,14.61409,247.7655,40.446,285.4467,392.2926,-5.722046e-06,155.5234,407.1211,534.4766,52.0654
70462.115348,246.4182,76.11065,250.4916,43.18964,92.23975,467.9577,311.2322,818.9365,378.9151,164.8234,13.77631,263.0721,37.46305,267.9189,370.9036,-4.768372e-06,156.7708,388.2478,518.7945,54.64693
70462.31527,226.9104,72.01006,240.6699,40.62877,83.0444,442.4553,295.4169,773.9432,354.2435,150.2385,12.98656,243.6436,34.70009,251.4675,350.6808,-4.768372e-06,145.156,405.002,534.5225,48.52394
70462.515192,208.9471,68.1304,222.0304,69.62669,74.76572,447.0195,280.4052,763.0819,331.1783,136.9442,12.24207,258.5903,32.14091,244.1865,354.3954,-4.768372e-06,166.1905,379.9792,530.6612,46.41112
70462.715114,192.4057,64.45976,208.3413,95.91595,103.1445,439.2675,307.9786,729.5887,309.6149,124.8264,11.54027,239.4928,29.77047,280.3693,375.6404,-4.768372e-06,157.059,361.4778,568.527,49.63175
70462.915036,204.4328,60.98689,192.2056,90.22876,92.86203,474.4894,384.8589,689.5042,307.1281,159.3302,10.8787,242.9744,59.5795,401.6787,397.3267,-3.814697e-06,145.4228,333.5377,539.3934,44.07069
70463.114958,203.5433,57.70112,196.6744,84.87878,83.60464,510.0635,416.4091,689.1548,319.1671,145.2314,10.25506,225.0301,56.50193,454.5376,537.0466,-3.814697e-06,184.6129,316.3186,571.8483,43.90487
70463.31488,257.7857,54.59237,181.4422,79.84602,111.9212,579.5208,458.0363,684.2928,298.3857,196.0747,9.667163,208.4111,52.33484,495.4973,507.7651,-2.861023e-06,183.2174,387.7985,581.3838,38.98547
70463.514802,237.3781,51.65112,186.0781,75.11168,116.4176,547.9384,512.5878,704.0961,287.1841,182.4371,9.112972,193.0195,48.47507,472.6518,480.0801,-2.861023e-06,200.879,435.3976,598.039,34.61729
70463.714724,231.6174,48.86833,180.1412,70.65804,104.812,518.0773,486.5405,675.4575,299.4248,193.0467,8.590551,178.7645,44.89996,457.695,453.9046,-2.384186e-06,192.2027,420.1306,604.0818,47.80075
70463.914646,225.6366,46.23547,188.1084,66.46848,94.36328,489.8434,464.0386,638.347,279.9289,175.9645,8.09808,165.5624,41.58852,429.5904,429.1563,-2.384186e-06,177.9629,450.7626,573.1263,128.3683
70464.114568,226.153,43.74446,175.8791,62.52733,114.3138,463.1483,460.3941,629.6484,281.7077,173.0506,7.633841,153.3352,38.52131,403.2115,405.7574,-1.907349e-06,178.9577,415.9212,572.432,113.9851
70464.31449,246.1386,41.38766,162.2576,58.81986,137.2787,437.9079,448.9234,622.1059,282.7424,163.98,7.196215,142.011,35.68031,378.4525,383.6342,-1.907349e-06,165.6991,383.7729,586.7512,144.6694
70464.514412,241.0029,39.15783,149.691,55.33223,123.5934,414.0432,437.5673,616.7235,300.2395,149.4698,6.783676,131.5232,33.04884,359.1094,362.7172,-1.907349e-06,153.4229,354.1095,600.7607,139.8989
70464.714334,221.9238,37.04814,155.9791,52.05138,111.2724,391.4789,423.4713,657.4205,306.7137,136.2435,6.394788,121.8099,30.61143,341.8969,342.9407,-1.907349e-06,142.0561,326.7388,627.7595,124.2237
70464.914256,204.3552,35.05211,154.9524,48.96507,132.5618,370.1444,401.9525,747.0443,291.2279,157.6208,6.028193,112.8139,28.3538,326.1867,324.2425,-1.430511e-06,131.5315,301.4838,595.5906,113.1801
70465.114178,188.1774,33.16362,142.9516,46.06176,119.3468,349.9725,432.1679,785.8895,312.1523,143.6733,5.682615,104.4823,26.26267,349.8221,306.5638,-1.430511e-06,121.7866,278.1808,604.6554,100.4986
70465.3141,173.2803,31.37688,131.8802,43.3306,107.4491,330.8999,451.4496,752.7841,302.5409,160.4492,5.356847,124.561,24.32576,368.9997,289.8489,-1.430511e-06,112.7637,256.679,580.6946,108.1824
70465.514022,159.5625,29.6864,121.6663,40.76138,96.73755,312.8668,428.5091,715.9362,325.4797,204.0687,5.049754,136.1236,22.5317,371.3476,274.0455,-1.430511e-06,104.4093,236.8392,590.0336,127.3718
70465.713944,286.5552,28.08699,112.2434,38.34449,87.09381,295.8164,436.8311,682.9882,311.3494,271.1877,4.760266,133.3952,20.86995,365.8146,259.1036,-1.430511e-06,96.67384,218.5329,559.798,168.0278
70465.913866,346.868,26.57376,103.5504,36.07091,78.41145,279.6952,419.4766,681.3748,301.3289,247.1909,4.487373,143.2893,19.33076,350.3444,244.9765,-1.192093e-06,89.51149,224.341,574.1627,149.2009
70466.113788,319.4081,25.14206,95.53056,33.93214,70.59462,264.4525,405.8836,643.9392,281.709,229.6516,4.230125,139.7686,17.90509,328.8316,231.6196,-1.192093e-06,82.87978,222.4094,581.6167,132.4834
70466.31371,294.1222,53.82777,88.13187,31.92018,63.55706,250.0406,396.5427,608.5604,263.3667,224.428,3.987625,129.4463,16.58456,308.6398,218.991,-1.192093e-06,76.7394,211.7732,633.0026,117.6391
70466.513632,270.838,77.23331,81.30621,30.02752,57.22107,236.4141,404.9866,575.1254,246.2186,211.6083,3.759026,119.8864,15.36143,300.1834,207.0509,-1.192093e-06,71.05395,215.1298,635.3424,104.4581
70466.713554,249.397,73.07224,75.00918,72.58871,51.51671,223.5301,385.3918,560.4323,230.187,192.8836,3.543531,153.2641,14.2285,281.7507,195.7618,-9.536743e-07,65.78972,198.5015,631.3331,92.75391
70466.913476,229.6535,69.13535,98.8515,124.1831,117.0844,211.3483,373.2565,759.8055,229.5617,182.9117,3.340391,172.7744,13.17913,264.4499,185.0883,-9.536743e-07,60.9155,270.6939,630.787,82.36115
70467.113398,211.4729,65.41057,91.19561,116.8199,121.9766,199.8304,354.2894,955.6818,223.056,166.7263,3.148896,160.0146,12.20715,283.326,174.9967,-9.536743e-07,56.4024,281.889,632.1659,94.17079
70467.31332,194.7316,61.88647,84.13266,109.8932,138.9949,188.9402,344.4813,946.9518,247.3658,151.973,2.968379,148.1971,11.30685,281.8713,165.4553,-1.072884e-06,84.54783,298.8182,646.9597,93.46822
70467.513242,179.3157,58.55223,100.9928,103.3773,153.1519,178.6435,400.4226,953.9119,245.6623,138.5253,2.79821,137.2524,10.47296,311.5136,156.4341,-8.34465e-07,86.79453,338.2228,674.6394,95.60929
70467.713164,198.6774,63.56816,100.328,97.24766,143.8002,168.9079,438.1992,937.2176,242.0571,126.2675,2.637797,127.116,9.700562,294.9792,147.9048,-8.34465e-07,82.79115,362.7418,684.3736,96.71251
70467.913086,197.0931,60.14333,92.55779,91.4815,129.4648,225.9981,421.7028,957.0374,226.2965,173.2412,2.48658,117.7282,8.985131,290.2695,139.8406,-8.34465e-07,76.65733,334.7039,690.2126,94.21033
70468.113008,181.4902,59.65635,85.38934,86.05724,135.5064,257.2303,400.2738,912.8424,211.562,157.9115,2.344032,109.0337,8.322465,272.4456,132.216,-7.152557e-07,93.65318,308.8332,698.2306,200.3111
70468.31293,167.1225,56.44227,78.77607,80.95461,165.9772,305.8184,397.9257,882.9874,197.787,165.6445,2.209655,100.9813,7.708671,255.7161,125.0072,-7.152557e-07,90.56133,284.9622,698.998,219.1519
70468.512852,173.1716,63.23357,72.67499,76.15453,201.3569,298.1836,387.936,834.475,184.9088,180.2619,2.082982,93.52358,7.140145,240.014,118.1914,-5.960464e-07,94.20814,262.9362,698.9354,194.5967
70468.712774,187.4296,61.41142,77.73986,71.63905,181.2837,316.8461,368.2229,788.6279,172.8692,195.8912,1.963571,86.61664,6.613549,225.276,111.7473,-5.960464e-07,87.22846,242.6127,723.7881,183.609
70468.912696,188.0466,77.68441,71.71903,67.39132,163.2116,299.5789,360.775,745.2997,202.4169,178.5572,1.851005,80.2198,6.12579,211.443,105.6544,-5.960464e-07,117.1201,223.8602,719.6179,190.2897
70469.112618,173.1599,92.14351,66.16451,63.39545,146.9411,327.7314,349.8794,704.3521,189.2373,200.8101,1.744892,74.29537,8.233122,198.4594,99.89382,-5.960464e-07,135.3749,206.5571,774.1144,235.1134
70469.31254,159.4516,87.17912,82.97887,59.63651,149.2644,309.8708,370.6565,665.6541,176.9158,183.0409,1.644863,68.80848,7.625917,186.273,94.4473,-5.364418e-07,145.4317,274.2922,746.0488,208.7698
70469.512462,179.0742,82.4822,102.9329,56.10045,144.6572,334.5493,375.6393,753.2784,187.0969,166.844,1.550568,63.72681,25.39126,174.835,89.29773,-5.364418e-07,173.7568,323.6948,763.6046,187.2186
70469.712384,164.8978,100.744,123.0591,52.77406,150.7448,343.9377,356.5511,767.8919,174.9148,178.5736,1.461678,59.02044,23.51862,164.0993,84.42893,25.58827,160.8835,352.953,731.8711,166.2414
