Time (s), Cell Name, Value
173561.822734, C07, 370.0246
173634.994425, C07, 192.0309
173750.549717, C07, 243.6418
173759.946082, C07, 487.5102
173763.744612, C07, 230.386
173793.533088, C07, 380.5428
173919.684281, C07, 206.3551
174028.042358, C07, 221.6299
174092.417452, C07, 182.6956
174139.999043, C07, 223.6014
174141.198579, C07, 306.061
174141.998269, C07, 390.855
174150.794866, C07, 190.0502
174155.992855, C07, 321.2261
174216.969264, C07, 233.5196
174267.149849, C07, 185.3834
174282.943739, C07, 325.8847
174419.890755, C07, 218.3412
174421.690059, C07, 418.8835
174426.28828, C07, 200.5652
174431.086424, C07, 233.1048
246745.924727, C07, 454.4267
246773.114172, C07, 180.0349
246958.2423, C07, 402.8377
246975.635547, C07, 216.997
247054.404967, C07, 231.8895
247058.80326, C07, 287.2908
247065.800543, C07, 143.3369
247112.782303, C07, 312.6132
247270.521065, C07, 162.551
247404.069218, C07, 271.9485
247409.067278, C07, 273.6418
247516.825443, C07, 169.4239
247518.824667, C07, 158.4886
247528.420942, C07, 175.1105
247554.410852, C07, 147.443
247601.19269, C07, 435.1718
248589.10404, C07, 138.3788
248620.291872, C07, 124.3772
248623.690546, C07, 262.1084
248643.282902, C07, 148.2674
248646.881498, C07, 218.9388
248650.480094, C07, 824.3704
248754.03969, C07, 172.2357
248791.824948, C07, 200.5182
248808.618396, C07, 108.2191
248871.593826, C07, 149.7592
248879.190862, C07, 113.7002
248881.390004, C07, 180.9008
248938.567696, C07, 159.2886
248952.162392, C07, 167.804
248956.760598, C07, 124.7643
248957.560286, C07, 227.292
248961.758648, C07, 101.8056
248967.156542, C07, 143.0321
248976.153032, C07, 219.8325
249017.336964, C07, 214.094
249039.128462, C07, 133.7428
249104.702878, C07, 169.974
249111.100382, C07, 257.5655
249115.89851, C07, 114.0923
249156.282754, C07, 143.3829
249203.064502, C07, 124.4822
249256.84352, C07, 115.3549
249404.385956, C07, 128.5887
260238.597022, C07, 219.0026
260268.985166, C07, 246.4436
260272.183918, C07, 119.4583
260274.183138, C07, 169.9611
260277.781734, C07, 251.4026
260313.767694, C07, 195.9331
260320.36512, C07, 115.7735
260321.164808, C07, 187.8452
260356.950846, C07, 98.18568
260386.539302, C07, 128.4338
260410.729864, C07, 99.26382
260456.112158, C07, 236.549
260489.099288, C07, 538.2522
260517.28829, C07, 173.0439
260526.884546, C07, 96.36488
260555.673314, C07, 149.4339
260571.866996, C07, 142.868
260615.449992, C07, 117.0279
260687.821756, C07, 184.3939
260701.416452, C07, 156.9523
260704.415282, C07, 108.3906
260716.410602, C07, 169.6154
260804.576204, C07, 107.4893
260811.773396, C07, 116.7233
260838.962788, C07, 173.4774
260844.760526, C07, 122.5288
260867.15179, C07, 105.7941
260878.347422, C07, 100.4918
260903.937438, C07, 132.1725
260912.534084, C07, 111.9
260952.318562, C07, 107.3542
260981.10733, C07, 155.4916
261004.898048, C07, 198.0245
261012.09524, C07, 496.3939
261016.693446, C07, 120.6432
34.786428, C08, 591.8748
89.365134, C08, 394.3839
127.95008, C08, 1951.962
138.146102, C08, 1279.265
182.528786, C08, 480.2912
239.706478, C08, 813.5557
628.954612, C08, 397.9622
69459.70252000001, C08, 930.9439
69484.49284799999, C08, 644.2716
69850.949874, C08, 632.8895
70513.095458, C08, 703.5915
70738.407552, C08, 1009.273
70928.93321800001, C08, 1438.879
84461.763576, C08, 465.6743
84467.76123600001, C08, 619.6255
84753.64969599999, C08, 624.712
84841.01561, C08, 422.1119
84857.809058, C08, 576.9745
84932.37996400001, C08, 504.3266
152282.476142, C08, 343.129
152412.425441, C08, 451.0726
152413.025208, C08, 251.9987
152544.773806, C08, 774.178
152589.956178, C08, 223.732
152595.354072, C08, 859.0901
152653.531374, C08, 239.8381
152663.727396, C08, 325.194
153117.350414, C08, 271.6357
158677.229134, C08, 278.0804
158722.611428, C08, 212.2803
159225.815102, C08, 224.1161
159271.797162, C08, 188.275
159345.968224, C08, 313.4495
159352.56565, C08, 191.0571
166483.365355, C08, 238.8653
166485.364576, C08, 332.5005
166507.355996, C08, 434.1856
166521.75038, C08, 576.374
166545.74102, C08, 1020.758
166797.64274, C08, 418.7343
173719.961552, C08, 403.4283
173839.115452, C08, 179.0679
173846.912436, C08, 344.0637
173894.094181, C08, 146.2475
173919.684281, C08, 548.3847
173967.265872, C08, 139.2114
174019.445684, C08, 139.1807
174134.001363, C08, 298.9445
174166.388833, C08, 146.5393
174357.514888, C08, 155.105
246712.937534, C08, 89.22137
246736.328453, C08, 336.1436
246745.125038, C08, 90.53189
246745.924727, C08, 608.1792
246748.723641, C08, 428.6067
246751.722476, C08, 526.8582
246764.717431, C08, 89.30547
246766.316811, C08, 248.7395
246791.706953, C08, 144.0661
246810.299735, C08, 151.3154
246839.888248, C08, 101.8034
246899.465119, C08, 88.13226
246924.855262, C08, 114.9852
246973.636324, C08, 100.9543
246996.427475, C08, 258.8194
247011.621577, C08, 111.859
247081.994256, C08, 103.4481
247116.980674, C08, 149.6744
247124.577724, C08, 146.9315
247126.77687, C08, 248.4156
247130.375473, C08, 258.8239
247141.970972, C08, 90.11859
247195.950016, C08, 206.2637
247206.34598, C08, 179.3123
247246.930224, C08, 147.5321
247251.328516, C08, 160.1642
247253.727585, C08, 88.34136
247254.727197, C08, 126.5592
247261.524558, C08, 393.1031
247262.324247, C08, 163.1185
247262.924014, C08, 458.6029
247266.72254, C08, 196.5972
