 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
101656.3601,387.7198,93.74509,18.5881,94.66055,540.6665,883.5767,114.0905,0.0,478.3664,351.5376,86.92603,243.785,567.9432,67.8922,263.364,242.4125,318.6141,303.1941
101656.4602,430.3515,104.9132,17.11168,103.3963,541.3323,872.7242,108.0893,0.0,448.0822,329.3249,82.29568,237.5919,542.2312,62.63116,284.8179,231.0378,297.8542,284.877
101656.5602,464.9855,106.2048,15.75253,102.5205,517.2063,829.0111,102.4039,0.0,419.7153,308.5158,77.91199,223.7302,519.097,57.7778,343.8124,220.1969,278.4469,322.1618
101656.6603,443.3948,122.2164,51.93626,96.45943,494.1555,787.4875,97.01746,0.0,462.2593,319.083,73.76181,266.4739,515.3975,53.30054,326.3769,209.8646,260.3042,317.3774
101656.7603,522.7657,117.0257,47.81105,90.75665,533.6907,748.0438,91.91438,0.0,432.9948,303.9913,69.83269,250.9271,492.0643,49.17022,309.8256,240.0672,243.3436,396.9129
101656.8604,654.5603,115.1814,44.01349,85.39104,564.8793,710.5757,87.07971,0.0,405.583,332.6597,66.11287,236.2874,469.7875,45.35996,310.4038,228.8026,227.4881,372.934
101656.9605,624.167,110.2895,40.51757,80.34264,579.2372,717.0837,82.49935,29.71551,379.9066,337.0869,62.5912,222.5018,448.5192,41.84497,306.2664,218.0665,212.6656,350.4037
101657.0605,679.3721,105.6054,37.29932,75.5927,596.7667,698.7114,78.15991,27.5497,355.8557,315.7874,166.9466,209.5205,458.8569,38.60236,290.735,271.4089,198.809,329.2346
101657.1606,725.429,101.1202,34.33669,71.1236,601.413,663.7142,74.04873,25.54173,333.3274,303.1138,188.4808,197.2965,483.4619,35.61102,303.1592,258.6736,224.0047,309.3444
101657.2606,691.7451,121.6643,31.60938,66.9187,713.3876,704.0552,70.15379,23.68012,312.2253,358.2821,178.4409,185.7857,482.9156,32.85148,314.1493,246.5359,230.6106,290.6558
101657.3607,700.26,116.4971,29.0987,62.9624,697.2743,715.4662,66.46371,21.9542,292.4591,335.6433,168.9358,174.9465,537.4088,30.30578,300.7343,234.9677,246.4702,273.0962
101657.4608,715.6667,111.5493,26.78744,59.24001,666.1984,712.6635,106.6472,20.35406,273.9442,330.864,159.937,164.7397,513.0792,27.95735,285.4834,239.7483,230.411,256.5975
101657.5608,791.3032,106.8117,24.65975,69.48968,650.8112,696.1923,101.0376,18.87056,256.6015,309.9577,234.0949,155.1284,503.4744,25.7909,333.2721,228.4986,215.3981,241.0956
101657.6609,789.5879,102.2753,22.70107,84.74916,621.8059,731.4212,95.72304,17.49518,240.3567,290.3724,301.0657,226.4804,533.0978,23.79234,361.3736,262.0385,201.3635,226.5301
101657.761,801.4228,97.9316,20.89796,79.73871,695.3443,697.8074,90.68803,16.22004,225.1404,279.7205,285.0286,271.1567,508.9634,21.94864,420.3929,249.7428,188.2433,212.8446
