 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
16362.52109,124.0181,95.00282,2.509407,12.52025,228.2808,506.0338,251.8673,101.3404,379.6983,212.1367,372.5527,13.5311,51.52497,0.0,128.4853,199.931,597.5159,297.5529
16362.62115,116.4485,90.74274,2.320777,11.79527,217.9811,477.3,238.8564,94.79749,356.1123,214.2702,352.3542,19.95593,170.3256,0.0,119.8985,188.4729,565.636,314.4785
16362.72121,124.1504,86.67368,2.146326,11.11228,208.1461,450.1978,247.7273,88.67701,333.9913,201.3465,344.1305,18.85478,205.9842,0.0,111.8855,177.6714,535.4571,336.0813
16362.82128,114.3773,109.1702,1.984988,10.46883,198.7548,450.1457,234.9302,82.95169,313.2445,247.6469,406.2847,17.81439,191.7241,0.0,104.408,167.489,544.7659,320.209
16362.92134,111.5209,156.173,1.835778,9.862642,189.7872,477.6296,245.4347,77.59602,293.7864,247.8358,384.2574,16.8314,252.9986,0.0,97.43029,205.6564,584.502,310.83
16363.0214,102.742,149.1699,1.697784,9.291553,181.2243,450.5087,243.2228,72.58614,275.537,232.8876,363.4244,56.75447,272.894,0.0,108.188,227.5261,553.3165,288.9892
16363.12146,94.65414,142.4809,1.570163,8.753534,173.0477,476.5654,262.1961,67.8997,258.4212,257.5081,343.7208,53.62281,292.3952,0.0,100.9576,214.4865,556.0223,326.9192
16363.22152,87.20298,151.9388,1.452135,8.246668,226.1263,449.5049,248.6517,63.51585,242.3687,241.9765,325.0855,138.4882,318.2165,0.0,94.21051,202.1941,547.9903,303.9479
16363.32158,87.66399,145.1256,1.34298,7.769152,249.5408,423.981,235.8069,59.41504,227.3132,288.375,307.4605,165.6555,407.7493,0.0,87.91429,219.2749,526.551,282.5907
16363.42165,80.76309,144.5821,1.242029,44.43725,238.2818,503.8687,223.6256,55.57898,213.193,299.0798,342.7657,156.5148,379.5211,0.0,82.03886,267.1386,558.4485,262.7343
16363.52171,74.40543,165.2025,1.148667,41.86415,227.5309,548.6741,212.0736,51.99059,199.9499,281.0408,324.1822,147.8785,353.2472,0.0,76.5561,256.1031,598.0029,259.1262
16363.62177,68.54825,157.7946,1.062322,63.57966,217.265,607.0817,232.4791,48.63389,187.5294,287.8499,306.6061,139.7187,328.7922,0.0,71.43974,385.9101,566.097,240.9185
16363.72183,63.15214,150.7188,0.9824682,61.28473,207.4623,672.9384,220.4697,45.4939,175.8805,324.4083,314.429,138.3652,306.0302,0.0,66.66533,371.8721,535.8934,245.7012
16363.82189,58.18082,143.9604,0.9086169,57.73609,237.9532,634.7274,223.7403,42.55665,164.9552,351.0292,342.2377,130.7304,284.844,0.0,62.21,383.3408,618.3262,228.4368
16363.92195,53.60083,137.5049,0.8403169,54.39294,232.8923,598.6861,212.1823,39.80904,154.7085,369.281,407.2401,123.5168,265.1245,0.0,58.05242,361.3713,585.336,237.7967
16364.02201,58.159,131.339,0.7771509,51.24336,251.666,643.4858,201.2215,37.23882,145.0984,347.0078,385.161,116.7012,246.7702,0.0,54.1727,456.3852,554.106,310.2459
