 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
519947.269,442.6685,13.2875,236.6087,-1.91e-06,663.8448,520.9012,370.6041,397.0096,348.7586,0.0,372.4955,113.381,188.7223,115.1076,147.4616,503.9429,679.0504,254.0427
519947.369,452.8862,12.65476,217.4314,-9.54e-07,670.6713,527.71,394.9898,371.3813,326.709,0.0,388.6109,103.8414,174.8296,106.6041,138.5023,506.3132,711.3401,288.0726
519947.4691,464.0947,12.05215,241.3358,-1.91e-06,678.1359,529.1944,374.0765,347.4073,341.3669,25.91846,368.5332,95.10448,161.9596,98.72877,130.0874,490.2,690.6685,309.9115
519947.5692,435.5717,11.47823,221.7754,-9.54e-07,640.335,535.339,354.2705,324.981,365.8472,55.75997,349.4928,144.7121,150.037,91.43523,213.4788,510.1605,738.5042,316.5749
519947.6692,459.6029,10.93165,220.4142,-9.54e-07,693.4676,524.0881,335.5132,379.6812,368.2614,51.69027,331.4362,156.3179,138.9921,84.6805,200.5085,494.2285,786.0067,319.5612
519947.7693,431.356,15.09891,329.6898,-1.91e-06,682.3282,494.9662,317.749,540.2783,344.9788,78.15296,314.3124,143.1658,128.7603,137.8863,259.3472,464.6357,800.6885,300.6206
519947.8693,404.8451,26.2808,401.3253,-9.54e-07,675.0172,509.6241,300.9253,561.2563,323.1682,93.83912,321.6141,167.9173,119.2817,144.7814,243.5901,481.2997,774.2068,282.8026
519947.9694,379.9635,25.02933,388.1509,-9.54e-07,721.6171,481.3059,284.9924,531.5046,340.0553,86.99016,373.6173,153.7892,110.5008,183.7851,249.5855,460.751,773.9534,284.594
519948.0695,356.6111,23.83745,418.0135,-9.54e-07,681.3925,454.5613,269.9031,525.9987,318.5559,80.64108,354.3142,140.8498,102.3663,170.2081,234.4216,468.8786,736.0325,310.4802
519948.1695,334.694,26.2679,398.6839,-1.43e-06,643.41,429.3028,255.6127,492.0436,317.8059,91.59723,336.0085,134.1871,94.8307,157.6341,260.5019,456.5989,699.9695,343.8545
