Name,SNR,EventRate(Hz)
C07,9.93434,0.0288038
C08,9.24457,0.0161705
C15,7.41649,0.0140481
C19,12.0153,0.0251654
C21,9.32956,0.0304208
C24,8.66182,0.0117236
C25,10.7565,0.0263782
C31,8.33167,0.0203142
C33,7.95454,0.0120268
C36,8.46651,0.0180908
C37,8.61979,0.0187982
C45,9.87207,0.029208
C46,8.06329,0.0213249
C50,8.22691,0.0237505
C51,7.31084,0.0129364
C55,9.11654,0.0258728
C56,9.2555,0.0217291
C57,7.55144,0.00838846
C62,4.93526,0.00495222
C65,8.21166,0.0387082
