Time,C00,C01,C02,C03,C04,C05,C06,C08,C09,C10,C11,C12,C13, C14,C15,C16,C18,C19
3.502153268,41.95678,151.9364,508.5584,569.2159,170.4367,74.63908,936.9082,239.7515,239.2722,217.3128,509.0717,529.9902,263.2183,134.4287,23.78338,17.81956,194.277,0
3.60221479,60.99981,145.7352,474.5619,535.9391,174.8721,70.68031,922.3467,224.5808,226.8059,208.1996,513.7914,506.4872,249.314,128.0531,22.72675,16.88884,234.1145,0
3.702276312,58.33715,139.7871,438.6408,504.6077,170.67,66.93152,906.4384,318.8936,258.9773,199.4685,606.6171,484.0263,278.1781,121.9798,21.71707,16.00674,221.1635,0
3.802337834,56.74023,139.2513,405.4388,475.1079,162.6964,63.38155,934.2299,477.3282,245.4843,191.1035,625.0072,492.5878,264.4034,116.1946,20.75224,15.17071,275.9637,0
3.902399355,54.26351,144.2036,374.7498,447.3327,181.0509,60.01987,1045.409,570.3022,232.6943,183.0894,672.0406,486.411,249.9722,110.6838,19.83027,14.37834,260.6976,0
4.002460877,51.89489,138.318,346.3839,461.6535,205.6427,56.83649,1048.943,534.2154,220.5707,175.4113,694.4752,543.4027,264.5821,105.4344,18.94927,13.62737,303.4258,0
4.102522399,49.62965,146.7458,353.8117,1021.969,249.188,53.82195,1034.844,500.412,209.0788,168.0552,663.6617,537.8975,314.427,108.3152,18.1074,12.91561,286.6405,0
4.202583921,47.4633,148.7128,378.5072,1175.404,295.986,50.9673,1080.009,468.7475,198.1856,212.8023,634.2153,514.0438,297.2656,173.1961,17.30294,12.24103,270.7838,0
4.302645443,45.39152,193.7603,572.9756,1260.06,347.3914,48.26406,1021.498,439.0866,187.8599,203.8782,616.6957,503.1835,281.0408,178.3331,16.53422,11.60168,255.8043,0
4.402706965,43.41016,187.3196,1113.841,1780.64,421.6455,45.70419,966.1558,411.3027,178.0723,195.3283,640.6133,495.9217,265.7015,173.5318,15.79965,10.99573,241.6534,0
4.502768487,41.5153,179.6742,1303.559,2132.132,415.5302,43.2801,961.7177,385.2767,168.7945,187.137,631.8535,516.09,251.1995,257.4315,15.09771,10.42142,228.2854,0
4.602830009,39.70314,172.3409,1290.743,2154.781,396.1168,40.98457,1040.876,360.8977,160.0002,211.108,603.8185,493.2034,237.489,245.2222,14.42696,9.877112,215.6568,0
4.702891531,37.97009,165.3069,1228.002,2183.533,396.9106,38.8108,1061.152,338.0612,171.9507,202.2549,577.0273,471.3317,224.5269,233.5919,18.93177,9.361232,203.7269,0
4.802953053,36.31268,158.56,1197.234,2102.083,406.8575,36.75232,1027.852,316.6698,173.9713,202.9481,551.4249,450.43,212.2722,222.5132,18.09069,71.27888,192.4569,0
4.903014575,34.72762,152.0884,1106.611,2036.857,387.8493,34.80302,972.1664,296.632,173.6045,220.4921,526.9585,430.4551,200.6863,212.4903,17.28696,67.55599,181.8104,0
5.003076097,33.21175,145.881,1022.849,1917.78,369.7292,32.95712,965.938,277.862,184.2887,211.2455,503.5776,429.8588,189.7329,203.764,16.51895,64.02755,171.7528,0
5.103137619,36.10507,139.9269,945.4261,1805.665,354.8202,31.20911,1170.022,260.2798,200.8016,202.3867,481.2341,410.7962,179.3772,194.0999,29.9248,60.6834,162.2516,0
5.203199141,42.19235,134.2159,873.8639,1710.029,338.2431,29.55382,1165.312,243.8102,190.3396,252.6682,459.882,392.5789,169.5868,184.8943,28.59532,109.7473,153.2759,0
5.303260663,40.35064,128.7379,829.5967,1722.829,325.0921,27.98632,1102.178,228.3826,180.4228,242.0723,463.7059,449.0903,178.7495,176.1252,58.81536,104.0152,144.7968,0
5.403322184,89.0331,123.4835,766.802,1681.982,359.7742,26.50196,1042.465,213.9313,179.0997,231.9207,443.1315,468.563,253.5241,216.4446,70.02803,98.58247,136.7868,0
5.503383706,85.14677,120.037,773.2765,1583.652,342.9658,25.09633,985.9877,200.3944,187.6798,295.5309,457.9823,447.784,292.3001,229.916,66.91688,93.43352,129.2199,0
5.603445228,81.43009,115.1377,714.7448,1491.071,326.9426,23.76525,940.861,205.5715,183.9248,283.1374,551.4009,427.9265,279.533,219.0117,63.94394,88.5535,122.0715,0
5.70350675,92.30643,110.4384,660.6436,1403.901,311.668,22.50477,889.8879,192.5636,267.0343,271.2637,526.9355,408.9495,282.2999,225.4067,73.729,83.92836,115.3186,0
5.803568272,88.27722,105.9309,610.6374,1343.147,385.4564,21.31115,841.6763,180.3788,253.1216,266.0849,615.7697,390.8141,274.9091,262.2475,70.45342,79.54479,108.9393,0
5.903629794,84.42389,101.6074,564.4164,1264.625,368.8668,20.18083,796.0768,168.965,239.9337,254.9263,588.4483,373.483,259.9045,249.8098,67.32337,75.39017,142.8086,0
6.003691316,80.73876,125.0865,521.694,1352.51,399.3772,19.11046,752.9476,158.2735,227.4329,284.6582,562.4095,376.375,245.7189,237.9619,64.33238,71.45255,134.9085,0
6.103752838,77.21449,119.9811,482.2054,1350.719,380.7185,18.09687,712.1551,148.2584,215.5834,289.6051,608.5362,380.1556,232.3075,226.676,61.47427,67.7206,177.4002,0
6.20381436,73.84405,152.3163,445.7057,1271.755,399.3259,17.13703,818.4313,138.8771,204.3513,277.4602,581.5358,390.5256,219.6282,215.9253,81.52718,64.18356,189.1201,0
6.303875882,70.62073,146.0995,827.3021,1239.042,446.771,16.2281,842.478,130.0894,193.7044,265.8245,555.7333,373.2073,207.6409,278.3346,77.90515,60.83126,178.6582,0
6.403937404,67.53811,178.8698,1128.1,1256.212,425.898,15.36739,831.1972,214.3493,183.6122,254.6768,531.0756,376.3835,196.3078,337.0129,74.44404,57.65405,168.7749,0
6.503998926,64.59004,171.5693,1194.018,1208.666,417.3419,14.55232,786.1653,200.786,174.0459,243.9966,507.5121,387.7592,185.5933,340.2866,71.1367,54.64278,190.3592,0
6.604060448,61.77067,164.5668,1147.697,1138.006,397.8439,13.78048,763.1146,188.0809,164.9779,233.7644,484.994,388.7264,175.4636,324.1476,67.97628,51.7888,188.2054,0
6.70412197,59.07436,157.8501,1142.771,1071.478,379.2568,13.04958,721.7713,176.1797,156.3824,223.9612,463.4751,415.0273,165.8868,308.7741,64.95628,49.08388,189.1678,0
6.804183492,56.49574,151.4075,1056.271,1008.838,361.5381,12.35745,682.6678,165.0316,148.2347,214.5691,442.9109,454.6864,156.8327,294.1297,62.07045,90.98661,178.7032,0
6.904245013,54.02968,145.2279,1003.806,949.8607,344.6472,11.70202,663.4373,154.589,140.5116,205.5709,425.9295,525.8224,148.2727,288.3126,59.31283,86.23439,191.0986,0
7.004306535,51.67127,139.3004,948.7671,894.3311,328.5454,11.08136,679.2055,144.8071,133.1908,201.0228,446.6987,546.2051,140.18,274.6386,56.67773,102.032,180.5272,0
7.104368057,49.4158,147.1319,876.952,858.7834,319.0109,10.49362,660.4926,135.6441,126.2514,222.1219,426.8789,568.3493,132.529,274.7291,54.15969,116.684,209.4771,0
7.204429579,47.25879,152.6371,824.3011,822.8251,311.8876,9.937052,653.4713,127.061,172.6589,212.807,424.6566,605.9094,132.0936,261.6994,71.92128,123.4465,197.889,0
7.304491101,45.19593,158.7553,761.9073,880.4197,297.8957,9.410002,618.0681,119.021,163.6632,269.3001,437.8924,579.0397,124.8839,320.5611,69.12376,143.1003,186.942,0
7.404552623,43.22311,152.2758,704.2362,955.0399,312.9957,8.910907,584.5829,111.4898,205.8923,327.6892,436.0893,577.5734,118.0677,305.3577,73.83939,188.1949,176.6005,0
7.504614145,41.33641,148.338,650.9304,899.2075,316.322,8.438284,576.3051,104.435,205.874,313.9471,416.7402,585.1962,111.6236,301.5872,70.55891,178.3655,166.8311,0
7.604675667,39.53206,142.2836,601.6595,846.6392,334.6419,7.990727,624.175,97.82673,195.1478,300.7813,538.0159,638.7188,130.5556,287.2837,143.5257,169.0495,157.6021,0
7.704737189,37.80647,136.4764,556.118,797.144,375.995,7.566909,621.6874,91.63657,184.9804,288.1677,527.5692,669.1346,123.4298,273.6585,137.1493,160.2201,191.4453,0
7.804798711,36.1562,150.7234,514.0237,750.5424,409.7934,7.165569,765.4092,85.8381,175.3427,297.7278,516.8048,639.4611,116.693,260.6796,131.0561,151.8518,251.7076,0
7.904860233,34.57798,144.5717,475.1157,782.4286,390.648,6.785516,737.9755,80.40654,191.7351,285.2422,493.8744,611.1034,110.3239,248.3162,125.2336,143.9206,237.7834,0
8.004921755,33.06864,138.6711,439.1527,814.7205,392.9958,6.425621,759.7662,75.31868,253.3927,273.2802,471.9614,590.9538,104.3024,236.5392,119.6699,136.4037,235.6558,0
8.104983277,31.62518,133.3589,405.9119,1223.232,383.522,6.084814,742.312,70.55276,264.5132,290.4162,451.0207,564.7472,98.6096,225.3208,114.3532,129.2793,233.424,0
8.205044799,30.24473,156.792,375.1872,1544.615,365.6041,15.71216,748.4007,66.08841,250.7318,278.2372,431.0092,539.7028,93.22747,214.6344,109.2728,137.4543,269.9392,0
8.305106321,28.92454,150.3926,346.7881,1493.188,348.5232,14.87881,707.8545,330.5769,237.6684,266.569,411.8855,523.2921,88.13911,204.4548,104.4181,130.275,255.0064,0
8.405167842,38.54076,169.3198,320.5387,1456.109,332.2403,14.08965,669.505,345.0957,225.2857,255.3901,393.6103,556.1517,83.32847,194.758,122.868,152.7292,240.8997,0
