 Time,C07,C08,C15,C19,C21,C24,C25,C31,C33,C36,C37,C45,C46,C50,C51,C55,C56,C57,C62,C65
173551.626679549,63.42603,80.99271,145.5346,144.8672,106.1653,136.6721,196.1892,304.5141,67.2393,0.0,174.4795,45.42818,10.45853,151.0579,333.4032,18.17683,209.7962,445.1938,417.2193,23.99538
173551.826602201,58.5974,75.71481,129.7672,137.1722,97.87229,128.1363,186.1694,286.0023,62.94592,0.0,163.1691,42.09967,12.6583,142.3658,315.4054,16.32638,195.4608,420.9077,392.0276,41.74841
173552.026524852,54.13637,70.78084,115.7081,129.886,90.22707,156.868,176.6614,268.6159,58.92669,0.0,152.5919,39.01505,11.57406,134.1739,298.3792,14.66431,182.1049,397.9464,368.3571,36.86179
173552.226447504,50.01496,66.16839,103.1721,122.9868,83.17904,147.0709,167.639,252.2864,55.16409,0.0,142.7003,36.15643,19.2954,126.4533,282.2721,13.17144,169.6616,376.2376,363.7432,32.54716
173552.426370155,46.20731,76.72002,96.16233,116.4541,76.68156,137.8856,164.1919,236.9496,51.64174,0.0,133.45,33.50726,20.52413,119.177,267.0345,11.83055,158.0685,355.7132,341.7804,28.73755
173552.626292807,42.68954,71.72054,93.35777,110.2684,70.69164,129.274,161.6852,222.5452,48.3443,0.0,124.7993,31.0522,18.76614,112.3194,252.6194,10.62617,147.2677,374.733,342.9127,25.37384
173552.826215459,67.25465,67.04686,83.24327,104.4112,65.16961,121.2002,180.3144,216.3951,45.2574,0.0,116.7093,28.77702,17.15874,105.8564,277.8883,9.544399,140.5046,354.2906,393.0705,22.40386
173553.02613811,240.3442,62.67773,122.4007,98.86518,60.07893,113.6307,171.1054,203.2402,42.36762,0.0,109.1438,26.66854,15.68901,137.6927,305.4351,8.572752,131.494,361.1115,391.7921,19.78151
173553.226060762,370.438,58.59333,136.9047,93.61374,55.38591,106.5339,202.1141,190.885,39.66235,0.0,102.0687,24.71454,14.34518,129.7697,380.2159,7.700024,149.828,365.1134,389.1061,17.4661
173553.425983414,360.3219,54.77508,122.0723,88.64124,51.05947,132.8375,197.3601,179.2809,37.12982,0.0,95.45225,22.90372,13.11645,122.3025,363.7466,6.91614,139.5902,345.1958,365.6119,15.42171
173553.625906065,332.8905,69.34819,108.8468,83.93286,47.071,152.271,187.2805,168.3822,34.759,0.0,89.26469,21.22557,11.99296,115.2651,374.4155,6.212058,134.952,355.4608,387.5312,13.61662
